"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"PENINLAND","Peninsula Land Limited","Ashok Piramal Group Real Estate Trust","25-MAR-2021 to 25-MAR-2021","3880910",,"162410717","Reg29(2)","25-Mar-2021, 21-32"
"SHRENIK","Shrenik Limited","Rishit Vimawala","23-MAR-2021 to 23-MAR-2021",,"2196741","17531259","Reg29(2)","25-Mar-2021, 21-30"
"SHRENIK","Shrenik Limited","Kaivan Vimawala","23-MAR-2021 to 23-MAR-2021",,"410000","14400467","Reg29(2)","25-Mar-2021, 21-30"
"VASCONEQ","Vascon Engineers Limited","Lalitha Vasudevan","24-MAR-2021 to 24-MAR-2021","580620",,"9500158","Reg29(1)","25-Mar-2021, 21-30"
"CLEDUCATE","CL Educate Limited","Sapna Puri","24-MAR-2021 to 24-MAR-2021","5170",,"29363","Reg29(2)","25-Mar-2021, 21-28"
"CLEDUCATE","CL Educate Limited","Mr. Satya Narayanan R","25-MAR-2021 to 25-MAR-2021","4000",,"2452557","Reg29(2)","25-Mar-2021, 21-28"
"PASHUPATI","Pashupati Cotspin Limited","Shree Pashupati Fabric LLP","24-MAR-2021 to 24-MAR-2021","1600",,"444800","Reg29(2)","25-Mar-2021, 17-56"
"MAHICKRA","Mahickra Chemicals Limited","Chintan Ashishkumar Gandhi","24-MAR-2021 to 24-MAR-2021","1500",,"75000","Reg29(2)","25-Mar-2021, 14-58"
"AIRAN","Airan Limited","Mr. Abhishek Sandeepkumar Agrawal","24-MAR-2021 to 24-MAR-2021","204723",,"93708226","Reg29(2)","25-Mar-2021, 14-56"
"ZODIACLOTH","Zodiac Clothing Company Limited","Mr. Anees Noorani","23-MAR-2021 to 23-MAR-2021","1140927",,"2899899","Reg29(2)","25-Mar-2021, 13-34"
"GNA","GNA Axles Limited","GNA Gears Limited","23-MAR-2021 to 24-MAR-2021","30",,"50","Reg29(2)","25-Mar-2021, 13-28"
"MINDAIND","Minda Industries Limited","Nirmal Kr Minda","23-MAR-2021 to 23-MAR-2021",,"399997","67392700","Reg29(2)","25-Mar-2021, 12-26"
"CLEDUCATE","CL Educate Limited","Mr. Satya Narayanan R","24-MAR-2021 to 24-MAR-2021","4000",,"2448557","Reg29(2)","25-Mar-2021, 12-22"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited along with PAC","24-MAR-2021 to 24-MAR-2021","2841",,"24766488","Reg29(2)","25-Mar-2021, 12-20"
"VIPCLOTHNG","VIP Clothing Limited","Subhkam Properties LLP","22-MAR-2021 to 23-MAR-2021",,"3500000","6000000","Reg29(2)","25-Mar-2021, 12-20"
"MINDAIND","Minda Industries Limited","Minda Investments Ltd.","23-MAR-2021 to 23-MAR-2021","399997",,"66614957","Reg29(2)","25-Mar-2021, 12-18"
"SHRENIK","Shrenik Limited","Mr. Kaivan Vimawala","22-MAR-2021 to 22-MAR-2021",,"160000","14810467","Reg29(2)","25-Mar-2021, 12-18"
"MINDAIND","Minda Industries Limited","Minda Investments Ltd.","23-MAR-2021 to 23-MAR-2021","399997",,"66614957","Reg29(1)","25-Mar-2021, 12-02"
"PENINLAND","Peninsula Land Limited","Ashok Piramal Group Real Estate Trust","23-MAR-2021 to 23-MAR-2021","1390000",,"157189248","Reg29(2)","25-Mar-2021, 12-02"
"PENINLAND","Peninsula Land Limited","Ashok Piramal Group Real Estate Trust","24-MAR-2021 to 24-MAR-2021","1340559",,"158529807","Reg29(2)","25-Mar-2021, 11-54"
"ASIANTILES","Asian Granito India Limited","Mukeshbhai J. Patel along with PAC","23-MAR-2021 to 23-MAR-2021","0",,"521000","Reg29(2)","24-Mar-2021, 23-40"
"ASIANTILES","Asian Granito India Limited","Mukeshbhai J. Patel along with PAC","23-MAR-2021 to 23-MAR-2021","729000",,"5198084","Reg29(2)","24-Mar-2021, 23-40"
"WSI","W S Industries (I) Limited","0","22-MAR-2021 to 22-MAR-2021",,,"309901","Reg29(2)","24-Mar-2021, 23-38"
"ASLIND","ASL Industries Limited","Mr. Mohit Goswami","22-MAR-2021 to 22-MAR-2021","300000",,"1196000","Reg29(1)","24-Mar-2021, 23-36"
"GOKULAGRO","Gokul Agro Resources Limited","Profitline Securities Private Limited","23-MAR-2021 to 23-MAR-2021",,"1112500","0","Reg29(2)","24-Mar-2021, 23-36"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","22-MAR-2021 to 22-MAR-2021","35000",,"9461386","Reg29(2)","24-Mar-2021, 23-34"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","23-MAR-2021 to 23-MAR-2021","28214",,"9489600","Reg29(2)","24-Mar-2021, 23-32"
"GOKUL","Gokul Refoils and Solvent Limited","M/s. Jashodaben Commodities LLP","23-MAR-2021 to 23-MAR-2021",,"521865","293939","Reg29(2)","24-Mar-2021, 23-32"
"GOKUL","Gokul Refoils and Solvent Limited","Mr. Kanubhai Jivatram Thakkar","23-MAR-2021 to 23-MAR-2021",,"606439","0","Reg29(2)","24-Mar-2021, 23-32"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C.Gandhi HUF","23-MAR-2021 to 23-MAR-2021","1500",,"51000","Reg29(2)","24-Mar-2021, 23-30"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C.Gandhi HUF","22-MAR-2021 to 22-MAR-2021","1500",,"49500","Reg29(2)","24-Mar-2021, 23-30"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C.Gandhi HUF","23-MAR-2021 to 23-MAR-2021","1500",,"49500","Reg29(2)","24-Mar-2021, 23-30"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C.Gandhi HUF","10-MAR-2021 to 10-MAR-2021","1500",,"48000","Reg29(2)","24-Mar-2021, 23-24"
"KHANDSE","Khandwala Securities Limited","Mr. Paresh J Khandwala","22-MAR-2021 to 22-MAR-2021","2929",,"176566","Reg29(2)","24-Mar-2021, 21-32"
"KHANDSE","Khandwala Securities Limited","Mr. Paresh J Khandwala","23-MAR-2021 to 23-MAR-2021","658",,"177224","Reg29(2)","24-Mar-2021, 21-32"
"EMCO","Emco Limited","Yachana Jain","22-MAR-2021 to 22-MAR-2021",,"749900","100","Reg29(2)","24-Mar-2021, 20-16"
"EMCO","Emco Limited","Ratna Suresh Jain","22-MAR-2021 to 22-MAR-2021",,"800000","3554255","Reg29(2)","24-Mar-2021, 20-10"
"EMCO","Emco Limited","Tripti Jain","22-MAR-2021 to 22-MAR-2021",,"1362100","100","Reg29(2)","24-Mar-2021, 20-10"
"JMA","Jullundur Motor Agency (Delhi) Limited","Aashna Arora","22-MAR-2021 to 23-MAR-2021","20000",,"415770","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Santosh Sondhi","22-MAR-2021 to 23-MAR-2021","0",,"1511380","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Deepak Arora","22-MAR-2021 to 23-MAR-2021","0",,"1307809","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Virat Sondhi","22-MAR-2021 to 23-MAR-2021",,"80000","5695020","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Shuchi Arora","22-MAR-2021 to 23-MAR-2021","20000",,"1862570","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Aditi Arora Malik","22-MAR-2021 to 23-MAR-2021","20000",,"442610","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Varoon Malik","22-MAR-2021 to 23-MAR-2021","20000",,"60217","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Jullundur Auto Sales Corporation Ltd","22-MAR-2021 to 23-MAR-2021","0",,"0","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Manisha Kapoor","22-MAR-2021 to 23-MAR-2021","0",,"141840","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Navneet Arora","22-MAR-2021 to 23-MAR-2021","0",,"101790","Reg29(2)","24-Mar-2021, 20-08"
"JMA","Jullundur Motor Agency (Delhi) Limited","Virat Sondhi (HUF)","22-MAR-2021 to 23-MAR-2021","0",,"45900","Reg29(2)","24-Mar-2021, 20-08"
"MACPOWER","Macpower CNC Machines Limited","Mehta Pritiben Jagdishbhai","23-MAR-2021 to 23-MAR-2021","2000",,"130449","Reg29(1)","24-Mar-2021, 19-54"
"MACPOWER","Macpower CNC Machines Limited","Nikesh Jagdish Mehta","23-MAR-2021 to 23-MAR-2021","417",,"1331075","Reg29(1)","24-Mar-2021, 19-54"
"MACPOWER","Macpower CNC Machines Limited","Mehta Pritiben Jagdishbhai","23-MAR-2021 to 23-MAR-2021","2000",,"130449","Reg29(2)","24-Mar-2021, 19-48"
"MACPOWER","Macpower CNC Machines Limited","Nikesh Jagdish Mehta","23-MAR-2021 to 23-MAR-2021","417",,"1331075","Reg29(2)","24-Mar-2021, 19-48"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","23-MAR-2021 to 23-MAR-2021","49544",,"33964591","Reg29(2)","24-Mar-2021, 19-44"
"EMCO","Emco Limited","Zarco Realties Private Limited","22-MAR-2021 to 22-MAR-2021","2912000",,"11267858","Reg29(2)","24-Mar-2021, 15-08"
"MOTOGENFIN","The Motor & General Finance Limited","Ram Prakash & Co. (P) Limited","23-MAR-2021 to 23-MAR-2021","16905",,"1663933","Reg29(2)","24-Mar-2021, 15-08"
"PASHUPATI","Pashupati Cotspin Limited","Shree Pashupati Fabric LLP","23-MAR-2021 to 23-MAR-2021","6400",,"443200","Reg29(2)","24-Mar-2021, 15-06"
"GOKULAGRO","Gokul Agro Resources Limited","Profitline Securities Private Limited","22-MAR-2021 to 22-MAR-2021",,"1000000","1112500","Reg29(2)","24-Mar-2021, 13-06"
"HISARMETAL","Hisar Metal Industries Limited","Pushpa Jindal","22-MAR-2021 to 22-MAR-2021","20250",,"1334300","Reg29(2)","24-Mar-2021, 13-06"
"SAFARI","Safari Industries (India) Limited","Sudhir Jatia","10-DEC-2019 to 22-MAR-2021",,"487500","12373465","Reg29(2)","24-Mar-2021, 13-06"
"JMA","Jullundur Motor Agency (Delhi) Limited","Aditi Arora Mallik","22-MAR-2021 to 23-MAR-2021","20000",,"442610","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Aashna Arora","22-MAR-2021 to 23-MAR-2021","20000",,"415770","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Varoon Malik","22-MAR-2021 to 23-MAR-2021","20000",,"60217","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Manisha Kapoor","22-MAR-2021 to 23-MAR-2021","0",,"141840","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Navneet Arora","22-MAR-2021 to 23-MAR-2021","0",,"101790","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Shuchi Arora","22-MAR-2021 to 23-MAR-2021","20000",,"1862570","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Santosh Sondhi","22-MAR-2021 to 23-MAR-2021","0",,"1511380","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Jullunder Auto Sales Corporation Ltd","22-MAR-2021 to 23-MAR-2021","0",,"0","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Virat Sondhi","22-MAR-2021 to 23-MAR-2021",,"80000","5695020","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Virat Sondhi HUF","22-MAR-2021 to 23-MAR-2021","0",,"45900","Reg29(2)","24-Mar-2021, 09-16"
"JMA","Jullundur Motor Agency (Delhi) Limited","Deepak Arora","22-MAR-2021 to 23-MAR-2021","0",,"1307809","Reg29(2)","24-Mar-2021, 09-16"
"WHEELS","Wheels India Limited","ndia Motor Parts & Accessories Limited","23-MAR-2021 to 23-MAR-2021","584655",,"1098655","Reg29(2)","24-Mar-2021, 09-16"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","22-MAR-2021 to 22-MAR-2021","2000",,"377200","Reg29(2)","23-Mar-2021, 21-38"
"MACPOWER","Macpower CNC Machines Limited","Mrs Riyaben Rupeshkumar Mehta","22-MAR-2021 to 22-MAR-2021","500",,"1814832","Reg29(2)","23-Mar-2021, 21-38"
"MACPOWER","Macpower CNC Machines Limited","Mrs  Raxaben Jagdishchandra Mehta","22-MAR-2021 to 22-MAR-2021","3500",,"391056","Reg29(2)","23-Mar-2021, 21-38"
"MACPOWER","Macpower CNC Machines Limited","Mr Nikesh J Mehta","22-MAR-2021 to 22-MAR-2021","2095",,"1330658","Reg29(2)","23-Mar-2021, 21-38"
"MACPOWER","Macpower CNC Machines Limited","Mrs Riyaben Rupeshkumar Mehta","22-MAR-2021 to 22-MAR-2021","500",,"1814832","Reg29(1)","23-Mar-2021, 21-22"
"MACPOWER","Macpower CNC Machines Limited","Mrs Raxaben Jagdishchandra Mehta","22-MAR-2021 to 22-MAR-2021","3500",,"391056","Reg29(1)","23-Mar-2021, 21-22"
"MACPOWER","Macpower CNC Machines Limited","Mr Nikesh Jagdish Mehta","22-MAR-2021 to 22-MAR-2021","2095",,"1330658","Reg29(1)","23-Mar-2021, 21-22"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","22-MAR-2021 to 22-MAR-2021","2000",,"377200","Reg29(1)","23-Mar-2021, 21-22"
"KOLTEPATIL","Kolte - Patil Developers Limited","Goldman Sachs Asset Management International along with PAC","19-MAR-2021 to 19-MAR-2021",,"2356912","1432974","Reg29(2)","23-Mar-2021, 21-18"
"MACPOWER","Macpower CNC Machines Limited","Mr Nikesh Jagdish Mehta","22-MAR-2021 to 22-MAR-2021","2095",,"1330658","Reg29(2)","23-Mar-2021, 21-16"
"MACPOWER","Macpower CNC Machines Limited","Mrs Riyaben Rupeshkumar Mehta","22-MAR-2021 to 22-MAR-2021","500",,"1814832","Reg29(2)","23-Mar-2021, 21-16"
"MACPOWER","Macpower CNC Machines Limited","Mrs Raxaben Jagdishchandra Mehta","22-MAR-2021 to 22-MAR-2021","3500",,"391056","Reg29(2)","23-Mar-2021, 21-16"
"MACPOWER","Macpower CNC Machines Limited","Mrs Mehta Nimishaben Nikeshbhai","22-MAR-2021 to 22-MAR-2021","2000",,"377200","Reg29(2)","23-Mar-2021, 21-16"
"MACPOWER","Macpower CNC Machines Limited","Mehta Nimishaben Nikeshbhai","22-MAR-2021 to 22-MAR-2021","2000",,"377200","Reg29(1)","23-Mar-2021, 21-12"
"MACPOWER","Macpower CNC Machines Limited","Raxaben Jagdishchandra Mehta","22-MAR-2021 to 22-MAR-2021","3500",,"391056","Reg29(1)","23-Mar-2021, 21-12"
"MACPOWER","Macpower CNC Machines Limited","Riyaben Rupeshkumar Mehta","22-MAR-2021 to 22-MAR-2021","500",,"1814832","Reg29(1)","23-Mar-2021, 21-12"
"MACPOWER","Macpower CNC Machines Limited","Nikesh Mehta","22-MAR-2021 to 22-MAR-2021","2095",,"1330658","Reg29(1)","23-Mar-2021, 21-12"
"ORIENTBELL","Orient Bell Limited","Mahendra K Daga","23-MAR-2021 to 23-MAR-2021","4300",,"3239922","Reg29(2)","23-Mar-2021, 21-04"
"PRAKASH","Prakash Industries Limited","Ved Prakash Agarwal","22-MAR-2021 to 22-MAR-2021","7520000",,"16268907","Reg29(2)","23-Mar-2021, 21-02"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited along with PAC","23-MAR-2021 to 23-MAR-2021","13723",,"24763647","Reg29(2)","23-Mar-2021, 21-00"
"MOHITIND","Mohit Industries Limited","MADHU NARAYAN SABOO","22-MAR-2021 to 22-MAR-2021","21286",,"590289","Reg29(2)","23-Mar-2021, 20-54"
"MOTOGENFIN","The Motor & General Finance Limited","RAM PRAKASH & CO P LIMITED","22-MAR-2021 to 22-MAR-2021","27000",,"1647028","Reg29(2)","23-Mar-2021, 19-32"
"RAJESHEXPO","Rajesh Exports Limited","Rajesh Mehta","22-MAR-2021 to 22-MAR-2021","2000",,"88488645","Reg29(2)","23-Mar-2021, 19-30"
"TNPL","Tamil Nadu Newsprint & Papers Limited","Hardik B Patel along with PAC","17-MAR-2021 to 17-MAR-2021","260000",,"3556369","Reg29(1)","23-Mar-2021, 19-30"
"21STCENMGM","21st Century Management Services Limited","Mr Karthik Iyer","19-MAR-2021 to 23-MAR-2021","4859",,"509617","Reg29(2)","23-Mar-2021, 19-28"
"SIGIND","Signet Industries Limited","Mukesh Sangla","22-MAR-2021 to 22-MAR-2021","18000",,"885086","Reg29(2)","23-Mar-2021, 17-16"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","Robust Marketing Services Private Limited","19-MAR-2021 to 19-MAR-2021","43000",,"10759301","Reg29(2)","23-Mar-2021, 17-14"
"PASHUPATI","Pashupati Cotspin Limited","Shree Pashupati Fabric LLP","22-MAR-2021 to 22-MAR-2021","1600",,"436800","Reg29(2)","23-Mar-2021, 16-30"
"AIRAN","Airan Limited","Mr. Abhishek Sandeepkumar Agrawal","22-MAR-2021 to 22-MAR-2021","145252",,"93503503","Reg29(2)","23-Mar-2021, 16-28"
"SHRENIK","Shrenik Limited","Kaivan Vimawala","19-MAR-2021 to 19-MAR-2021",,"180000","14970467","Reg29(2)","23-Mar-2021, 16-22"
"SIGIND","Signet Industries Limited","Mukesh Sangla","22-MAR-2021 to 22-MAR-2021","18000",,"885086","Reg29(2)","23-Mar-2021, 16-22"
"SOFTTECH","Softtech Engineers Limited","East India Udyog Limited","20-NOV-2020 to 19-MAR-2021","200000",,"521600","Reg29(2)","23-Mar-2021, 16-08"
"EVEREADY","Eveready Industries India Limited","Williamson Magor & Co. Limited","22-MAR-2021 to 22-MAR-2021",,"107395","7191","Reg29(2)","23-Mar-2021, 16-06"
"AGCNET","AGC Networks Limited","Essar Telecom Limited","21-MAR-2021 to 21-MAR-2021","963823",,"16346336","Reg29(2)","23-Mar-2021, 15-14"
"UNIVPHOTO","Universus Photo Imagings Limited","Rishi Trading Co Ltd","19-MAR-2021 to 19-MAR-2021",,"500000","806004","Reg29(2)","23-Mar-2021, 15-14"
"HEXATRADEX","Hexa Tradex Limited","Opelina Sustainable Services Limited along with PAC","18-MAR-2021 to 18-MAR-2021","650000",,"650000","Reg29(1)","23-Mar-2021, 15-12"
"UNIVPHOTO","Universus Photo Imagings Limited","Jindal Photo Investments Limited","19-MAR-2021 to 19-MAR-2021",,"2873852","0","Reg29(2)","23-Mar-2021, 15-12"
"GOKUL","Gokul Refoils and Solvent Limited","Mr. Kanubhai Jivatram Thakkar","22-MAR-2021 to 22-MAR-2021",,"1000000","606439","Reg29(2)","23-Mar-2021, 14-56"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","22-MAR-2021 to 22-MAR-2021","4500",,"134852","Reg29(2)","23-Mar-2021, 14-50"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C.Gandhi Huf","22-MAR-2021 to 22-MAR-2021","1500",,"48000","Reg29(2)","23-Mar-2021, 14-46"
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","Mitsubishi UFJ Financial Group, Inc. alongwith PACs","19-MAR-2021 to 19-MAR-2021","1683775",,"46527410","Reg29(1)","23-Mar-2021, 14-46"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","22-MAR-2021 to 22-MAR-2021","73168",,"33915047","Reg29(2)","23-Mar-2021, 14-40"
"PFOCUS","Prime Focus Limited","Novator Capital Limited","19-MAR-2021 to 19-MAR-2021",,,"209547528","Reg29(2)","23-Mar-2021, 11-24"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","Genesis Investment Management LLP","18-MAR-2021 to 18-MAR-2021","1069377",,"32283614","Reg29(2)","23-Mar-2021, 11-18"
"PENINLAND","Peninsula Land Limited","Ashok Piramal Group Real Estate Trust","22-MAR-2021 to 22-MAR-2021","1390000",,"155799248","Reg29(2)","23-Mar-2021, 11-16"
"PFOCUS","Prime Focus Limited","IDBI Trusteeship Services Limited","19-MAR-2021 to 19-MAR-2021",,"31639695","0","Reg29(2)","23-Mar-2021, 09-56"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","19-MAR-2021 to 19-MAR-2021","3205",,"130352","Reg29(2)","23-Mar-2021, 09-54"
"LAGNAM","Lagnam Spintex Limited","Kavita Mangal","22-FEB-2021 to 19-MAR-2021","30000",,"308000","Reg29(2)","23-Mar-2021, 08-22"
"BALPHARMA","Bal Pharma Limited","Shailesh Siroya","17-MAR-2021 to 17-MAR-2021","650000",,"1995459","Reg29(2)","22-Mar-2021, 20-42"
"AIRAN","Airan Limited","Abhishek Sandeepkumar Agrawal along with PAC","18-MAR-2021 to 18-MAR-2021","100000",,"93358251","Reg29(2)","22-Mar-2021, 20-40"
"KESORAMIND","Kesoram Industries Limited","Vistra ITCL (India) Limited","15-MAR-2021 to 19-MAR-2021","26041587",,"26041587","Reg29(1)","22-Mar-2021, 20-40"
"ARCHIDPLY","Archidply Industries Limited","Assam Timber Products Pvt Ltd","19-MAR-2021 to 19-MAR-2021","100000",,"2115786","Reg29(2)","22-Mar-2021, 20-38"
"ARCHIDPLY","Archidply Industries Limited","Rajiv Daga","19-MAR-2021 to 19-MAR-2021",,"100000","786500","Reg29(2)","22-Mar-2021, 20-36"
"USHAMART","Usha Martin Limited","Peterhouse Investments Limited and other promoters as PAC","22-MAR-2021 to 22-MAR-2021",,"500000","11404919","Reg29(2)","22-Mar-2021, 18-44"
"CLEDUCATE","CL Educate Limited","Gautam Puri","19-MAR-2021 to 19-MAR-2021","1966",,"2347545","Reg29(2)","22-Mar-2021, 18-40"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited  along with PAC","22-MAR-2021 to 22-MAR-2021","5356",,"24749924","Reg29(2)","22-Mar-2021, 18-40"
"FCONSUMER","Future Consumer Limited","International Finance Corporation FDI AC","17-MAR-2021 to 17-MAR-2021","49515599",,"107819921","Reg29(2)","22-Mar-2021, 18-38"
"CHEMBOND","Chembond Chemicals Ltd","Padma Vinod Shah","19-MAR-2021 to 19-MAR-2021","12000",,"1622312","Reg29(2)","22-Mar-2021, 18-34"
"CHEMBOND","Chembond Chemicals Ltd","S and N Ventures Limited","19-MAR-2021 to 19-MAR-2021","10000",,"225139","Reg29(2)","22-Mar-2021, 18-34"
"CHEMBOND","Chembond Chemicals Ltd","Sameer Vinod Shah","19-MAR-2021 to 19-MAR-2021","4200",,"1609661","Reg29(2)","22-Mar-2021, 18-34"
"CHEMBOND","Chembond Chemicals Ltd","Nirmal V. Shah","19-MAR-2021 to 19-MAR-2021","4200",,"1709092","Reg29(2)","22-Mar-2021, 18-34"
"PFOCUS","Prime Focus Limited","A2R Holdings along with PACS","19-MAR-2021 to 19-MAR-2021","31639695",,"209547528","Reg29(2)","22-Mar-2021, 18-30"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","Robust Marketing Services Private Limited","18-MAR-2021 to 18-MAR-2021","53000",,"10716301","Reg29(2)","22-Mar-2021, 17-18"
"IEX","Indian Energy Exchange Limited","Nippon Life India Trustee Limited (formerly known as Reliance Capital Trustee Co Ltd) A/c through various schemes of Nippon India Mutual Fund","18-MAR-2021 to 18-MAR-2021",,"98069","9173733","Reg29(2)","22-Mar-2021, 17-16"
"NCLIND","NCL Industries Limited","Kalidindi Ravi","15-MAR-2021 to 15-MAR-2021",,"1000","2584412","Reg29(2)","22-Mar-2021, 17-12"
"SANWARIA","Sanwaria Consumer Limited","Ashok Agrawal","19-FEB-2021 to 19-MAR-2021",,"54033100","0","Reg29(2)","22-Mar-2021, 17-12"
"UNIVPHOTO","Universus Photo Imagings Limited","Soyuz Trading Co Ltd","19-MAR-2021 to 19-MAR-2021",,"525000","2526336","Reg29(2)","22-Mar-2021, 17-10"
"ROSSELLIND","Rossell India Limited","BMG Investments Private Limited","19-MAR-2021 to 19-MAR-2021",,"540000","9769","Reg29(2)","22-Mar-2021, 17-04"
"ROSSELLIND","Rossell India Limited","Harvin Estates Private Limited","19-MAR-2021 to 19-MAR-2021",,"110000","361045","Reg29(2)","22-Mar-2021, 17-04"
"ROSSELLIND","Rossell India Limited","BMG Enterprises Limited","19-MAR-2021 to 19-MAR-2021","650000",,"23763795","Reg29(2)","22-Mar-2021, 17-04"
"TNPETRO","Tamilnadu PetroProducts Limited","Hardik B Patel along with PAC","17-MAR-2021 to 17-MAR-2021","260000",,"3556369","Reg29(1)","22-Mar-2021, 17-02"
"JUBLINGREA","Jubilant Ingrevia Limited","Rakesh Jhunjhunwala","19-MAR-2021 to 19-MAR-2021","304009",,"9933809","Reg29(1)","22-Mar-2021, 17-00"
"UNIVPHOTO","Universus Photo Imagings Limited","Consolidated Photo & Finvest Limited","19-MAR-2021 to 19-MAR-2021","3898852",,"4104674","Reg29(1)","22-Mar-2021, 17-00"
"UNIVPHOTO","Universus Photo Imagings Limited","Consolidated Photo & Finvest Limited","19-MAR-2021 to 19-MAR-2021","3898852",,"4104674","Reg29(2)","22-Mar-2021, 16-58"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","19-MAR-2021 to 19-MAR-2021","32000",,"9426386","Reg29(2)","22-Mar-2021, 16-56"
"HEXATRADEX","Hexa Tradex Limited","Siddeshwari Tradex Pvt. Ltd.","18-MAR-2021 to 18-MAR-2021","1400000",,"3899745","Reg29(2)","22-Mar-2021, 16-42"
"ROSSELLIND","Rossell India Limited","BMG Enterprises Ltd","19-MAR-2021 to 19-MAR-2021","650000",,"23763795","Reg29(2)","22-Mar-2021, 14-34"
"ROSSELLIND","Rossell India Limited","Harvin Estates Private Ltd","19-MAR-2021 to 19-MAR-2021",,"110000","361045","Reg29(2)","22-Mar-2021, 14-32"
"USHAMART","Usha Martin Limited","Anupama Jhawar","19-MAR-2021 to 19-MAR-2021",,"16950","0","Reg29(2)","22-Mar-2021, 14-32"
"GOKULAGRO","Gokul Agro Resources Limited","Profitline Securities Private Limited","19-MAR-2021 to 19-MAR-2021",,"500000","2112500","Reg29(2)","22-Mar-2021, 14-30"
"HCG","Healthcare Global Enterprises Limited","Dr. B.S. Ajaikumar","18-MAR-2021 to 19-MAR-2021","68631",,"19824215","Reg29(2)","22-Mar-2021, 14-30"
"RGL","Renaissance Global Limited","Amit Chandrakant Shah","18-MAR-2021 to 18-MAR-2021",,"151812","0","Reg29(2)","22-Mar-2021, 14-30"
"ROSSELLIND","Rossell India Limited","BMG Investments Private Ltd","19-MAR-2021 to 19-MAR-2021",,"540000","9769","Reg29(2)","22-Mar-2021, 14-30"
